[2026134][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Air Mode] {heater: 10, fan: 39, input: 31.89, error: -0.11}
[2101211][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 58.00, error: -4.00}
[2106231][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 58.00, error: -4.00}
[2111251][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2116271][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2121291][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2126311][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2131331][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2136351][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2141371][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2146391][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2151411][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2156431][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2161451][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2166472][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.80, error: -4.20}
[2171491][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2176511][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2181531][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2186551][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.80, error: -4.20}
[2191571][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.80, error: -4.20}
[2196592][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 57.90, error: -4.10}
[2201611][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.80, error: -4.20}
[2206631][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.80, error: -4.20}
[2211651][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.80, error: -4.20}
[2216671][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.80, error: -4.20}
[2221691][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.80, error: -4.20}
[2226711][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2231731][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2236751][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.00, error: -4.00}
[2241771][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2246791][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2251811][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.00, error: -4.00}
[2256831][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2261851][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2266871][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2271891][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2276911][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.00, error: -4.00}
[2281931][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2286951][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.00, error: -4.00}
[2291971][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.00, error: -4.00}
[2296991][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.00, error: -4.00}
[2302011][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2307031][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2312051][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.80, error: -4.20}
[2317071][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.80, error: -4.20}
[2322091][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.80, error: -4.20}
[2327111][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2332131][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.00, error: -4.00}
[2337151][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 57.90, error: -4.10}
[2342171][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.00, error: -4.00}
[2347191][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.10, error: -3.90}
[2352211][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.10, error: -3.90}
[2357231][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.10, error: -3.90}
[2362251][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.20, error: -3.80}
[2367271][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.20, error: -3.80}
[2372291][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.20, error: -3.80}
[2377311][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.30, error: -3.70}
[2382331][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.30, error: -3.70}
[2387351][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.30, error: -3.70}
[2392371][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.40, error: -3.60}
[2397391][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.40, error: -3.60}
[2402411][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.50, error: -3.50}
[2407431][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.60, error: -3.40}
[2412451][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.60, error: -3.40}
[2417471][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.70, error: -3.30}
[2422491][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.90, error: -3.10}
[2427511][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 58.80, error: -3.20}
[2432531][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 59.00, error: -3.00}
[2437551][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 59.00, error: -3.00}
[2442571][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 40, fan: 20, input: 59.00, error: -3.00}
[2447612][I][ASTRA_BabyIncubator.cpp:72] pidTask(): [Humidity Mode] {heater: 30, fan: 20, input: 59.10, error: -2.90}
